object,normal_count,abnormal_count,count
path,33,19,52
board,0,1,1
mother,240,296,536
jar,175,214,389
faucet,35,34,69
window,141,91,232
cabinet,92,66,158
cup,58,52,110
towel,12,13,25
dish,237,253,490
table,1,7,8
wall,0,2,2
plant,56,44,100
girl,128,114,242
kids,37,48,85
curtain,81,39,120
cookie,219,213,432
water,202,232,434
stool,233,228,461
garage,11,6,17
corner,0,2,2
floor,75,141,216
yard,12,19,31
mop,0,1,1
lid,31,13,44
handle,2,1,3
bowl,2,2,4
bird,0,1,1
boy,226,271,497
house,20,18,38
sink,204,190,394
button,0,1,1
